book1,book2,cosine_similarity
37.txt,29.txt,0.9998422750556305
463.txt,73.txt,0.999382032483865
221.txt,108.txt,0.9982031723208679
107.txt,27.txt,0.9974989366264032
201.txt,97.txt,0.9951843187022814
129.txt,127.txt,0.981000902495228
361.txt,362.txt,0.9427188462417873
48.txt,25.txt,0.9296546922588512
2.txt,4.txt,0.9291738689137582
87.txt,48.txt,0.9220878328016219
25.txt,14.txt,0.921231973785486
146.txt,137.txt,0.9172643297334455
180.txt,87.txt,0.9138047279989571
7.txt,4.txt,0.9099135518318433
6.txt,2.txt,0.9077524594190655
2.txt,7.txt,0.9063476174186275
6.txt,4.txt,0.9052669981397777
3.txt,4.txt,0.9034346707763019
3.txt,2.txt,0.8840086323005143
6.txt,7.txt,0.8826737179016477
139.txt,126.txt,0.8790345668348285
87.txt,25.txt,0.8738827944668287
48.txt,14.txt,0.8738603801369532
3.txt,7.txt,0.8642153499060025
3.txt,6.txt,0.8633322793930728
11.txt,114.txt,0.8599556994874372
180.txt,48.txt,0.8593285025576807
202.txt,23.txt,0.854269614567368
227.txt,231.txt,0.8516695562705627
81.txt,78.txt,0.8418595484323701
87.txt,14.txt,0.8258158863684185
180.txt,25.txt,0.8181661407756987
47.txt,51.txt,0.8030124904216088
117.txt,156.txt,0.7897544981473018
180.txt,14.txt,0.7820453430669311
45.txt,47.txt,0.7817143935701084
277.txt,278.txt,0.7722888946329707
81.txt,106.txt,0.7721826536004421
81.txt,85.txt,0.766165732415611
118.txt,34.txt,0.7338178897946082
12.txt,11.txt,0.7300512208092125
78.txt,106.txt,0.729799482147567
26.txt,58.txt,0.6919407346932877
231.txt,229.txt,0.6916542966285838
229.txt,237.txt,0.6833482615511024
227.txt,229.txt,0.6817467721469959
75.txt,49.txt,0.6780560844122296
78.txt,85.txt,0.67663092550578
485.txt,55.txt,0.6643551400689
118.txt,75.txt,0.6611025467613905
485.txt,486.txt,0.6513415569693181
34.txt,75.txt,0.6509789580877032
34.txt,49.txt,0.6506351455388694
106.txt,85.txt,0.6449708327317923
12.txt,114.txt,0.6405462185093973
167.txt,168.txt,0.6284253343259101
118.txt,49.txt,0.6281212985975462
45.txt,51.txt,0.6226130046145265
339.txt,336.txt,0.6151365695442428
227.txt,237.txt,0.6022593492332936
50.txt,302.txt,0.5973745029924766
81.txt,92.txt,0.5909616288821379
270.txt,291.txt,0.5875643794611448
231.txt,237.txt,0.5841912398177797
486.txt,55.txt,0.5800233534625114
227.txt,226.txt,0.5711097807166874
80.txt,118.txt,0.566171111410731
21.txt,28.txt,0.5635744276239144
231.txt,226.txt,0.5575134925439408
228.txt,409.txt,0.5559444979183223
204.txt,223.txt,0.5543975418443684
78.txt,92.txt,0.5500581054648191
337.txt,339.txt,0.54313963995151
75.txt,250.txt,0.5400643409630517
360.txt,444.txt,0.535375957394917
452.txt,422.txt,0.5343531503449922
